category,system,metric,query_n,mean,ci_low,ci_high,bootstrap_samples,seed
exact_lookup,bm25,mrr_at_10,6,1.0,1.0,1.0,10000,42
exact_lookup,bm25,recall_at_10,6,0.8634920634920635,0.746031746031746,0.9666666666666667,10000,42
exact_lookup,bm25,ndcg_graded_at_10,6,0.9168470345077518,0.8703004370710081,0.9612578714696182,10000,42
exact_lookup,faiss_windowed_max,mrr_at_10,6,0.8666666666666667,0.6,1.0,10000,42
exact_lookup,faiss_windowed_max,recall_at_10,6,0.6412698412698412,0.5555555555555555,0.7269841269841271,10000,42
exact_lookup,faiss_windowed_max,ndcg_graded_at_10,6,0.7041192788825615,0.5497412551107437,0.839214310554567,10000,42
exact_lookup,graph_v3_2,mrr_at_10,6,0.9166666666666666,0.75,1.0,10000,42
exact_lookup,graph_v3_2,recall_at_10,6,0.9206349206349206,0.8095238095238094,1.0,10000,42
exact_lookup,graph_v3_2,ndcg_graded_at_10,6,0.9041665491340791,0.833624090915786,0.9673038416063879,10000,42
exact_lookup,hybrid_rrf,mrr_at_10,6,1.0,1.0,1.0,10000,42
exact_lookup,hybrid_rrf,recall_at_10,6,0.9206349206349206,0.8095238095238094,1.0,10000,42
exact_lookup,hybrid_rrf,ndcg_graded_at_10,6,0.9460813132837926,0.9036346899289042,0.985897017346037,10000,42
exact_lookup,prompt_rag_claude,mrr_at_10,6,1.0,1.0,1.0,10000,42
exact_lookup,prompt_rag_claude,recall_at_10,6,0.7087301587301588,0.5039682539682538,0.9111111111111111,10000,42
exact_lookup,prompt_rag_claude,ndcg_graded_at_10,6,0.849682536382319,0.736786841080819,0.9496888512709653,10000,42
terminology,bm25,mrr_at_10,6,0.9166666666666666,0.75,1.0,10000,42
terminology,bm25,recall_at_10,6,0.8888888888888888,0.6666666666666666,1.0,10000,42
terminology,bm25,ndcg_graded_at_10,6,0.7938448917172156,0.5981257292103918,0.9221670485714512,10000,42
terminology,faiss_windowed_max,mrr_at_10,6,0.9166666666666666,0.75,1.0,10000,42
terminology,faiss_windowed_max,recall_at_10,6,0.7777777777777777,0.5555555555555556,0.9444444444444445,10000,42
terminology,faiss_windowed_max,ndcg_graded_at_10,6,0.7834027143808603,0.6144821570823634,0.9433185613867616,10000,42
terminology,graph_v3_2,mrr_at_10,6,1.0,1.0,1.0,10000,42
terminology,graph_v3_2,recall_at_10,6,1.0,1.0,1.0,10000,42
terminology,graph_v3_2,ndcg_graded_at_10,6,0.9894083642881132,0.9682250928643393,1.0,10000,42
terminology,hybrid_rrf,mrr_at_10,6,1.0,1.0,1.0,10000,42
terminology,hybrid_rrf,recall_at_10,6,1.0,1.0,1.0,10000,42
terminology,hybrid_rrf,ndcg_graded_at_10,6,0.970452326406032,0.9217667289522905,1.0,10000,42
