retriever,query_category,num_queries,mrr,avg_latency_ms,mrr@1,mrr@3,mrr@5,mrr@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
bm25,all,100,0.5763,1.1,0.43,0.5533,0.5653,0.5763,0.305,0.595,0.68,0.775,0.43,0.5232,0.5632,0.598,0.43,0.2833,0.196,0.111
bm25,exact_match,20,0.7671,0.72,0.6,0.75,0.76,0.7671,0.6,0.9,0.95,1.0,0.6,0.7893,0.8086,0.8253,0.6,0.3,0.19,0.1
bm25,terminology_heavy,20,0.3101,0.4,0.1,0.2417,0.2792,0.3101,0.1,0.4,0.55,0.75,0.1,0.2827,0.3473,0.4163,0.1,0.1333,0.11,0.075
bm25,paraphrase,20,0.2833,1.14,0.2,0.275,0.275,0.2833,0.2,0.4,0.4,0.45,0.2,0.3065,0.3065,0.3244,0.2,0.1333,0.08,0.045
bm25,entity_relation,20,0.7,1.72,0.55,0.6917,0.6917,0.7,0.275,0.55,0.65,0.775,0.55,0.542,0.5934,0.6436,0.55,0.3667,0.26,0.155
bm25,multi_hop,20,0.8208,1.5,0.7,0.8083,0.8208,0.8208,0.35,0.725,0.85,0.9,0.7,0.6953,0.7599,0.7805,0.7,0.4833,0.34,0.18
faiss,all,100,0.4648,18.9,0.37,0.435,0.4555,0.4648,0.265,0.425,0.52,0.6,0.37,0.3909,0.4328,0.4604,0.37,0.2067,0.15,0.085
faiss,exact_match,20,0.6079,38.06,0.5,0.5667,0.6017,0.6079,0.5,0.65,0.8,0.85,0.5,0.5881,0.6505,0.6663,0.5,0.2167,0.16,0.085
faiss,terminology_heavy,20,0.195,7.64,0.15,0.1667,0.1867,0.195,0.15,0.2,0.3,0.35,0.15,0.175,0.2137,0.2315,0.15,0.0667,0.06,0.035
faiss,paraphrase,20,0.2472,12.29,0.15,0.2083,0.2208,0.2472,0.15,0.3,0.35,0.55,0.15,0.2315,0.2531,0.3175,0.15,0.1,0.07,0.055
faiss,entity_relation,20,0.5972,20.82,0.5,0.5917,0.5917,0.5972,0.25,0.475,0.525,0.575,0.5,0.4686,0.4923,0.5125,0.5,0.3167,0.21,0.115
faiss,multi_hop,20,0.6767,15.67,0.55,0.6417,0.6767,0.6767,0.275,0.5,0.625,0.675,0.55,0.4912,0.5546,0.574,0.55,0.3333,0.25,0.135
graphrag,all,100,0.1712,18.22,0.07,0.1383,0.1553,0.1712,0.06,0.155,0.205,0.295,0.07,0.1273,0.1513,0.1832,0.07,0.07,0.058,0.041
graphrag,exact_match,20,0.15,52.97,0.1,0.15,0.15,0.15,0.1,0.2,0.2,0.2,0.1,0.1631,0.1631,0.1631,0.1,0.0667,0.04,0.02
graphrag,terminology_heavy,20,0.1694,7.16,0.1,0.1417,0.1517,0.1694,0.1,0.2,0.25,0.4,0.1,0.1565,0.1759,0.2221,0.1,0.0667,0.05,0.04
graphrag,paraphrase,20,0.1113,10.31,0.05,0.075,0.0875,0.1113,0.05,0.1,0.15,0.3,0.05,0.0815,0.1031,0.1554,0.05,0.0333,0.03,0.03
graphrag,entity_relation,20,0.1847,10.49,0.0,0.125,0.1625,0.1847,0.0,0.125,0.225,0.325,0.0,0.0967,0.1495,0.1895,0.0,0.0833,0.09,0.065
graphrag,multi_hop,20,0.2405,10.17,0.1,0.2,0.225,0.2405,0.05,0.15,0.2,0.25,0.1,0.1387,0.1651,0.1862,0.1,0.1,0.08,0.05
