retriever,query_category,num_queries,mrr,avg_latency_ms,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
bm25,all,100,0.4136,1.38,0.27,0.455,0.575,0.675,0.28,0.3819,0.431,0.465,0.28,0.17,0.126,0.076
bm25,paraphrase,20,0.484,1.7,0.35,0.55,0.65,0.8,0.35,0.4696,0.5127,0.5586,0.35,0.1833,0.13,0.08
bm25,entity_relation,20,0.7333,2.03,0.6,0.9,0.9,0.9,0.6,0.7762,0.7762,0.7762,0.6,0.3,0.18,0.09
bm25,multi_hop,20,0.2875,1.75,0.05,0.275,0.275,0.425,0.1,0.2073,0.2073,0.2653,0.1,0.1833,0.11,0.085
bm25,terminology_heavy,20,0.1305,0.71,0.0,0.1,0.45,0.6,0.0,0.05,0.192,0.2402,0.0,0.0333,0.09,0.06
bm25,exact_match,20,0.4325,0.7,0.35,0.45,0.6,0.65,0.35,0.4065,0.4668,0.4846,0.35,0.15,0.12,0.065
faiss,all,100,0.1666,22.18,0.095,0.16,0.21,0.26,0.11,0.1389,0.1599,0.1759,0.11,0.0633,0.05,0.031
faiss,paraphrase,20,0.2281,27.66,0.15,0.25,0.35,0.4,0.15,0.2131,0.254,0.269,0.15,0.0833,0.07,0.04
faiss,entity_relation,20,0.3201,22.96,0.25,0.4,0.4,0.5,0.25,0.3315,0.3315,0.3624,0.25,0.1333,0.08,0.05
faiss,multi_hop,20,0.2587,24.77,0.075,0.15,0.2,0.25,0.15,0.15,0.1751,0.1936,0.15,0.1,0.08,0.05
faiss,terminology_heavy,20,0.0063,19.64,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.005
faiss,exact_match,20,0.02,15.86,0.0,0.0,0.1,0.1,0.0,0.0,0.0387,0.0387,0.0,0.0,0.02,0.01
graphrag,all,100,0.0913,14.01,0.05,0.115,0.145,0.17,0.05,0.0891,0.1007,0.1089,0.05,0.04,0.03,0.018
graphrag,paraphrase,20,0.0227,25.9,0.0,0.0,0.05,0.15,0.0,0.0,0.0193,0.0511,0.0,0.0,0.01,0.015
graphrag,entity_relation,20,0.1083,12.44,0.05,0.2,0.2,0.2,0.05,0.1315,0.1315,0.1315,0.05,0.0667,0.04,0.02
graphrag,multi_hop,20,0.0306,13.71,0.0,0.025,0.025,0.05,0.0,0.0193,0.0193,0.0286,0.0,0.0167,0.01,0.01
graphrag,terminology_heavy,20,0.225,9.53,0.15,0.3,0.3,0.3,0.15,0.2446,0.2446,0.2446,0.15,0.1,0.06,0.03
graphrag,exact_match,20,0.07,8.48,0.05,0.05,0.15,0.15,0.05,0.05,0.0887,0.0887,0.05,0.0167,0.03,0.015
