retriever,query_category,num_queries,mrr,avg_latency_ms,mrr@1,mrr@3,mrr@5,mrr@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
bm25,all,100,0.5813,1.04,0.44,0.5583,0.5703,0.5813,0.315,0.595,0.68,0.775,0.44,0.5268,0.5669,0.6017,0.44,0.2833,0.196,0.111
bm25,exact_match,20,0.7921,0.77,0.65,0.775,0.785,0.7921,0.65,0.9,0.95,1.0,0.65,0.8077,0.8271,0.8437,0.65,0.3,0.19,0.1
bm25,terminology_heavy,20,0.3101,0.39,0.1,0.2417,0.2792,0.3101,0.1,0.4,0.55,0.75,0.1,0.2827,0.3473,0.4163,0.1,0.1333,0.11,0.075
bm25,paraphrase,20,0.2833,0.99,0.2,0.275,0.275,0.2833,0.2,0.4,0.4,0.45,0.2,0.3065,0.3065,0.3244,0.2,0.1333,0.08,0.045
bm25,entity_relation,20,0.7,1.51,0.55,0.6917,0.6917,0.7,0.275,0.55,0.65,0.775,0.55,0.542,0.5934,0.6436,0.55,0.3667,0.26,0.155
bm25,multi_hop,20,0.8208,1.54,0.7,0.8083,0.8208,0.8208,0.35,0.725,0.85,0.9,0.7,0.6953,0.7599,0.7805,0.7,0.4833,0.34,0.18
faiss,all,100,0.4662,22.23,0.37,0.435,0.4555,0.4662,0.265,0.425,0.52,0.61,0.37,0.3909,0.4328,0.4637,0.37,0.2067,0.15,0.086
faiss,exact_match,20,0.6151,64.48,0.5,0.5667,0.6017,0.6151,0.5,0.65,0.8,0.9,0.5,0.5881,0.6505,0.6829,0.5,0.2167,0.16,0.09
faiss,terminology_heavy,20,0.195,7.24,0.15,0.1667,0.1867,0.195,0.15,0.2,0.3,0.35,0.15,0.175,0.2137,0.2315,0.15,0.0667,0.06,0.035
faiss,paraphrase,20,0.2472,9.66,0.15,0.2083,0.2208,0.2472,0.15,0.3,0.35,0.55,0.15,0.2315,0.2531,0.3175,0.15,0.1,0.07,0.055
faiss,entity_relation,20,0.5972,15.63,0.5,0.5917,0.5917,0.5972,0.25,0.475,0.525,0.575,0.5,0.4686,0.4923,0.5125,0.5,0.3167,0.21,0.115
faiss,multi_hop,20,0.6767,14.12,0.55,0.6417,0.6767,0.6767,0.275,0.5,0.625,0.675,0.55,0.4912,0.5546,0.574,0.55,0.3333,0.25,0.135
graphrag,all,100,0.1537,51.22,0.05,0.12,0.1385,0.1537,0.045,0.15,0.215,0.305,0.05,0.1149,0.1442,0.1756,0.05,0.07,0.06,0.042
graphrag,exact_match,20,0.1725,143.58,0.1,0.15,0.1725,0.1725,0.1,0.2,0.3,0.3,0.1,0.1631,0.204,0.204,0.1,0.0667,0.06,0.03
graphrag,terminology_heavy,20,0.1694,21.7,0.1,0.1417,0.1517,0.1694,0.1,0.2,0.25,0.4,0.1,0.1565,0.1759,0.2221,0.1,0.0667,0.05,0.04
graphrag,paraphrase,20,0.0592,40.78,0.0,0.025,0.0375,0.0592,0.0,0.05,0.1,0.25,0.0,0.0315,0.0531,0.1033,0.0,0.0167,0.02,0.025
graphrag,entity_relation,20,0.1535,23.28,0.0,0.1083,0.1333,0.1535,0.0,0.125,0.175,0.275,0.0,0.0887,0.1151,0.1538,0.0,0.0833,0.07,0.055
graphrag,multi_hop,20,0.2142,26.75,0.05,0.175,0.1975,0.2142,0.025,0.175,0.25,0.3,0.05,0.1347,0.1729,0.1948,0.05,0.1167,0.1,0.06
